Name;URL;Author;Price;Number of Ratings;Average Rating
Last Week Tonight with John Oliver Presents a Day in the Life of Marlon Bundo;https://www.amazon.com/Tonight-Oliver-Presents-Marlon-Bundo/dp/145217380X?_encoding=UTF8&psc=1;Jill Twiss;$12.25;4,856;4.9 out of 5 stars
12 Rules for Life: An Antidote to Chaos;https://www.amazon.com/12-Rules-Life-Antidote-Chaos/dp/0345816021?_encoding=UTF8&psc=1;Jordan B. Peterson;$15.75;1,688;4.7 out of 5 stars
The Don't Laugh Challenge - Easter Edition: Easter Edition - Don't Laugh Challenge: Easter Joke Book for Kids with Knock-Knock Jokes and Riddles Included;https://www.amazon.com/Dont-Laugh-Challenge-Knock-Knock-Included/dp/1945006803?_encoding=UTF8&psc=1;Don't Laugh Joke;$9.42;13;4.5 out of 5 stars
Ready Player One: A Novel;https://www.amazon.com/Ready-Player-One-Ernest-Cline/dp/0307887448?_encoding=UTF8&psc=1;Ernest Cline;$8.79;16,521;4.6 out of 5 stars
The Berenstain Bears and the Easter Story: Stickers Included! (Berenstain Bears/Living Lights);https://www.amazon.com/Berenstain-Bears-Easter-Story-Stickers/dp/0310720877?_encoding=UTF8&psc=1;Mike Berenstain;$4.01;345;4.6 out of 5 stars
Llama Llama Easter Egg;https://www.amazon.com/Llama-Easter-Egg-Anna-Dewdney/dp/0451469828?_encoding=UTF8&psc=1;Anna Dewdney;$4.83;217;4.5 out of 5 stars
Dear Madam President: An Open Letter to the Women Who Will Run the World;https://www.amazon.com/Dear-Madam-President-Letter-Women/dp/1538713454?_encoding=UTF8&psc=1;Jennifer Palmieri;$12.01;20;4.4 out of 5 stars
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life;https://www.amazon.com/Subtle-Art-Not-Giving-Counterintuitive/dp/0062457713?_encoding=UTF8&psc=1;Mark Manson;$14.99;3,295;4.4 out of 5 stars
Easter Eggstravaganza Mad Libs;https://www.amazon.com/Easter-Eggstravaganza-Libs-Roger-Price/dp/0843172525?_encoding=UTF8&psc=1;Roger Price;$4.99;138;4.6 out of 5 stars
Try Not to Laugh Challenge, Easter Joke Book for Kids: Easter Basket Stuffer for Boys, Girls, Teens & Adults, Fun Easter Activity Book with Cute ... Easter Activities for the Whole Family!;https://www.amazon.com/Laugh-Challenge-Easter-Joke-Book/dp/1986554902?_encoding=UTF8&psc=1;Easter Bunny Press;$7.21;Not available;Not available
A Higher Loyalty: Truth, Lies, and Leadership;https://www.amazon.com/Higher-Loyalty-Truth-Lies-Leadership/dp/1250192455?_encoding=UTF8&psc=1;James Comey;$15.99;Not available;Not available
Magnolia Table: A Collection of Recipes for Gathering;https://www.amazon.com/Magnolia-Table-Collection-Recipes-Gathering/dp/006282015X?_encoding=UTF8&psc=1;Joanna Gaines;$16.19;Not available;Not available
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4);https://www.amazon.com/Dog-Man-Cat-Kid-Underpants/dp/0545935180?_encoding=UTF8&psc=1;Dav Pilkey;$6.40;359;4.9 out of 5 stars
Secret Empires: How the American Political Class Hides Corruption and Enriches Family and Friends;https://www.amazon.com/Secret-Empires-American-Political-Corruption/dp/0062569368?_encoding=UTF8&psc=1;Peter Schweizer;$17.39;49;4.6 out of 5 stars
A Wrinkle in Time (Time Quintet);https://www.amazon.com/Wrinkle-Time-Quintet/dp/0312367546?_encoding=UTF8&psc=1;Madeleine L'Engle;$4.89;2,988;4.5 out of 5 stars
The 5 Love Languages: The Secret to Love that Lasts;https://www.amazon.com/Love-Languages-Secret-that-Lasts/dp/080241270X?_encoding=UTF8&psc=1;Gary Chapman;$9.59;12,695;4.8 out of 5 stars
It's Not Easy Being a Bunny (Beginner Books(R));https://www.amazon.com/Easy-Being-Bunny-Beginner-Books/dp/0394861027?_encoding=UTF8&psc=1;Marilyn Sadler;$6.56;230;4.8 out of 5 stars
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life;https://www.amazon.com/You-Are-Badass-Doubting-Greatness/dp/0762447699?_encoding=UTF8&psc=1;Jen Sincero;$9.60;3,368;4.6 out of 5 stars
First 100 Words;https://www.amazon.com/First-100-Words-Roger-Priddy/dp/0312510780?_encoding=UTF8&psc=1;Roger Priddy;$4.34;7,819;4.6 out of 5 stars
Tiger Woods;https://www.amazon.com/Tiger-Woods-Jeff-Benedict/dp/1501126423?_encoding=UTF8&psc=1;Jeff Benedict;$18.00;10;4.2 out of 5 stars
Little Blue Truck's Springtime;https://www.amazon.com/Little-Trucks-Springtime-Alice-Schertle/dp/0544938097?_encoding=UTF8&psc=1;Alice Schertle;$9.50;77;3.7 out of 5 stars
Girl, Wash Your Face: Stop Believing the Lies About Who You Are so You Can Become Who You Were Meant to Be;https://www.amazon.com/Girl-Wash-Your-Face-Believing/dp/1400201659?_encoding=UTF8&psc=1;Rachel Hollis;$13.79;1,148;4.9 out of 5 stars
Happy Easter, Mouse! (If You Give...);https://www.amazon.com/Happy-Easter-Mouse-You-Give/dp/0694014222?_encoding=UTF8&psc=1;Laura Numeroff;$5.63;283;4.5 out of 5 stars
Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump;https://www.amazon.com/Russian-Roulette-Inside-America-Election/dp/1538728753?_encoding=UTF8&psc=1;Michael Isikoff;$18.00;192;4.7 out of 5 stars
Little Fires Everywhere;https://www.amazon.com/Little-Fires-Everywhere-Celeste-Ng/dp/0735224293?_encoding=UTF8&psc=1;Celeste Ng;$15.28;2,119;4.4 out of 5 stars
This Is Me: Loving the Person You Are Today;https://www.amazon.com/This-Me-Loving-Person-Today/dp/0062837877?_encoding=UTF8&psc=1;Chrissy Metz;$16.19;7;4.6 out of 5 stars
Pete the Cat: Big Easter Adventure;https://www.amazon.com/Pete-Cat-Big-Easter-Adventure/dp/006219867X?_encoding=UTF8&psc=1;James Dean;$7.18;215;4.6 out of 5 stars
The Great Easter Race! (Sesame Street Scribbles);https://www.amazon.com/Great-Easter-Sesame-Street-Scribbles/dp/1492638374?_encoding=UTF8&psc=1;Sesame Workshop;$6.98;10;5.0 out of 5 stars
Giraffes Can't Dance;https://www.amazon.com/Giraffes-Cant-Dance-Giles-Andreae/dp/0545392551?_encoding=UTF8&psc=1;Giles Andreae;$5.06;3,834;4.7 out of 5 stars
Bright Baby Touch and Feel Easter;https://www.amazon.com/Bright-Baby-Touch-Feel-Easter/dp/0312513755?_encoding=UTF8&psc=1;Roger Priddy;$3.80;172;3.5 out of 5 stars
Wonder;https://www.amazon.com/Wonder-R-J-Palacio/dp/0375869026?_encoding=UTF8&psc=1;R. J. Palacio;$10.19;12,623;4.9 out of 5 stars
How to Win Friends & Influence People;https://www.amazon.com/How-Win-Friends-Influence-People/dp/0671027034?_encoding=UTF8&psc=1;Dale Carnegie;$9.60;8,028;4.7 out of 5 stars
Player's Handbook (Dungeons & Dragons);https://www.amazon.com/Players-Handbook-Dungeons-Dragons-Wizards/dp/0786965606?_encoding=UTF8&psc=1;Wizards RPG Team;$27.27;2,512;4.6 out of 5 stars
